compound,const,workerID,judgement
blood loss,blood,1046,5
blood loss,loss,1011,5
blood loss,loss,1006,5
blood loss,loss,1081,3
blood loss,loss,1036,5
blood loss,loss,1099,5
blood loss,loss,1029,5
blood loss,loss,1079,3
blood loss,loss,1073,5
blood loss,loss,1046,5
blood loss,loss,1056,5
blood loss,loss,1048,5
blood loss,loss,1087,5
blood loss,loss,1037,5
blood loss,loss,1043,5
blood loss,blood,1011,5
blood loss,blood,1029,5
blood loss,blood,1056,5
blood loss,blood,1001,5
blood loss,blood,1048,5
blood loss,blood,1037,5
blood loss,blood,1079,5
blood loss,blood,1081,5
blood loss,blood,1036,5
blood loss,blood,1043,5
blood loss,loss,1001,2
blood loss,blood,1099,5
blood loss,blood,1087,5
blood loss,blood,1006,5
blood loss,blood,1073,5
capital loss,loss,1046,5
capital loss,loss,1056,5
capital loss,loss,1011,5
capital loss,loss,1001,1
capital loss,loss,1073,5
capital loss,loss,1043,5
capital loss,loss,1036,5
capital loss,loss,1079,2
capital loss,loss,1099,4
capital loss,loss,1048,5
capital loss,loss,1006,5
capital loss,loss,1029,5
capital loss,loss,1087,5
capital loss,loss,1081,3
capital loss,loss,1037,5
capital loss,capital,1081,4
capital loss,capital,1029,4
capital loss,capital,1056,4
capital loss,capital,1079,5
capital loss,capital,1001,5
capital loss,capital,1048,5
capital loss,capital,1011,5
capital loss,capital,1037,5
capital loss,capital,1046,5
capital loss,capital,1099,4
capital loss,capital,1087,5
capital loss,capital,1036,5
capital loss,capital,1073,5
capital loss,capital,1006,5
capital loss,capital,1043,5
chamber music,music,1001,4
chamber music,music,1043,5
chamber music,music,1048,5
chamber music,music,1036,5
chamber music,music,1037,5
chamber music,music,1073,5
chamber music,music,1079,5
chamber music,music,1087,5
chamber music,music,1006,5
chamber music,music,1011,5
chamber music,music,1029,5
chamber music,music,1081,4
chamber music,music,1099,3
chamber music,music,1056,5
chamber music,music,1046,5
chamber music,chamber,1036,1
chamber music,chamber,1081,2
chamber music,chamber,1073,0
chamber music,chamber,1001,1
chamber music,chamber,1048,3
chamber music,chamber,1079,3
chamber music,chamber,1037,0
chamber music,chamber,1006,1
chamber music,chamber,1099,3
chamber music,chamber,1087,3
chamber music,chamber,1056,3
chamber music,chamber,1046,0
chamber music,chamber,1043,4
chamber music,chamber,1029,2
chamber music,chamber,1011,4
coffee machine,machine,1079,5
coffee machine,coffee,1081,5
coffee machine,coffee,1099,4
coffee machine,coffee,1037,5
coffee machine,coffee,1011,5
coffee machine,machine,1011,5
coffee machine,coffee,1006,5
coffee machine,machine,1056,4
coffee machine,machine,1046,5
coffee machine,machine,1037,5
coffee machine,machine,1006,5
coffee machine,machine,1036,5
coffee machine,machine,1087,4
coffee machine,coffee,1087,5
coffee machine,machine,1048,5
coffee machine,machine,1029,5
coffee machine,machine,1099,0
coffee machine,machine,1043,5
coffee machine,coffee,1029,5
coffee machine,machine,1001,1
coffee machine,coffee,1001,5
coffee machine,coffee,1043,5
coffee machine,coffee,1073,3
coffee machine,coffee,1079,5
coffee machine,machine,1081,4
coffee machine,machine,1073,5
coffee machine,coffee,1036,5
coffee machine,coffee,1056,5
coffee machine,coffee,1048,5
coffee machine,coffee,1046,5
country music,country,1087,4
country music,country,1043,3
country music,country,1048,3
country music,country,1037,0
country music,country,1099,5
country music,country,1001,2
country music,country,1056,4
country music,country,1046,2
country music,country,1073,0
country music,country,1081,3
country music,country,1079,5
country music,country,1036,0
country music,country,1006,3
country music,country,1029,3
country music,music,1043,5
country music,music,1046,5
country music,music,1079,5
country music,music,1048,5
country music,music,1036,5
country music,music,1037,5
country music,music,1087,5
country music,music,1056,5
country music,music,1011,5
country music,music,1006,5
country music,music,1081,5
country music,music,1029,5
country music,music,1073,5
country music,music,1001,5
country music,music,1099,5
country music,country,1011,4
family movie,movie,1046,5
family movie,movie,1081,2
family movie,movie,1001,5
family movie,movie,1056,5
family movie,movie,1029,5
family movie,movie,1006,5
family movie,movie,1037,5
family movie,movie,1073,5
family movie,movie,1099,3
family movie,movie,1048,5
family movie,movie,1043,5
family movie,movie,1036,5
family movie,movie,1011,5
family movie,movie,1079,5
family movie,movie,1087,5
family movie,family,1048,3
family movie,family,1037,5
family movie,family,1011,4
family movie,family,1079,5
family movie,family,1087,3
family movie,family,1056,4
family movie,family,1081,5
family movie,family,1099,3
family movie,family,1073,2
family movie,family,1029,3
family movie,family,1046,2
family movie,family,1001,5
family movie,family,1043,4
family movie,family,1006,2
family movie,family,1036,3
folk music,music,1037,5
folk music,folk,1046,1
folk music,folk,1006,2
folk music,music,1046,5
folk music,music,1081,5
folk music,music,1048,5
folk music,folk,1056,3
folk music,folk,1087,2
folk music,music,1073,5
folk music,folk,1011,3
folk music,folk,1029,3
folk music,music,1036,5
folk music,folk,1036,1
folk music,music,1079,5
folk music,music,1001,5
folk music,folk,1043,3
folk music,music,1043,5
folk music,music,1099,4
folk music,music,1029,5
folk music,folk,1037,0
folk music,folk,1081,2
folk music,folk,1073,3
folk music,folk,1099,4
folk music,folk,1048,3
folk music,music,1087,5
folk music,music,1006,5
folk music,folk,1001,4
folk music,folk,1079,5
folk music,music,1011,5
folk music,music,1056,5
gambling loss,loss,1099,4
gambling loss,gambling,1099,4
gambling loss,gambling,1087,5
gambling loss,gambling,1046,5
gambling loss,gambling,1036,5
gambling loss,gambling,1073,5
gambling loss,loss,1081,3
gambling loss,loss,1006,5
gambling loss,gambling,1006,5
gambling loss,gambling,1056,5
gambling loss,loss,1011,5
gambling loss,loss,1001,1
gambling loss,loss,1079,3
gambling loss,loss,1029,5
gambling loss,loss,1036,5
gambling loss,loss,1056,5
gambling loss,gambling,1001,4
gambling loss,loss,1046,5
gambling loss,gambling,1037,5
gambling loss,gambling,1081,4
gambling loss,gambling,1029,5
gambling loss,loss,1043,5
gambling loss,loss,1048,5
gambling loss,loss,1073,5
gambling loss,gambling,1048,5
gambling loss,loss,1087,5
gambling loss,gambling,1079,5
gambling loss,gambling,1011,5
gambling loss,loss,1037,5
gambling loss,gambling,1043,5
gangster movie,gangster,1036,3
gangster movie,gangster,1081,4
gangster movie,movie,1073,5
gangster movie,gangster,1037,3
gangster movie,gangster,1079,5
gangster movie,movie,1046,5
gangster movie,gangster,1043,5
gangster movie,movie,1036,5
gangster movie,movie,1043,5
gangster movie,gangster,1006,4
gangster movie,gangster,1029,5
gangster movie,movie,1099,4
gangster movie,movie,1079,5
gangster movie,movie,1011,5
gangster movie,gangster,1099,4
gangster movie,movie,1029,5
gangster movie,gangster,1046,3
gangster movie,gangster,1011,5
gangster movie,gangster,1056,5
gangster movie,gangster,1001,5
gangster movie,movie,1001,5
gangster movie,gangster,1048,5
gangster movie,movie,1056,5
gangster movie,movie,1087,5
gangster movie,gangster,1087,4
gangster movie,movie,1006,5
gangster movie,movie,1081,5
gangster movie,gangster,1073,3
gangster movie,movie,1048,5
gangster movie,movie,1037,5
hair loss,hair,1011,5
hair loss,hair,1056,5
hair loss,loss,1056,5
hair loss,loss,1046,5
hair loss,loss,1048,5
hair loss,loss,1011,5
hair loss,hair,1037,5
hair loss,hair,1081,4
hair loss,hair,1079,5
hair loss,loss,1087,5
hair loss,loss,1043,5
hair loss,loss,1006,5
hair loss,loss,1029,5
hair loss,loss,1079,3
hair loss,loss,1081,4
hair loss,loss,1037,5
hair loss,hair,1006,5
hair loss,hair,1029,5
hair loss,hair,1001,5
hair loss,loss,1099,2
hair loss,hair,1048,5
hair loss,loss,1036,5
hair loss,hair,1043,5
hair loss,loss,1001,2
hair loss,loss,1073,5
hair loss,hair,1036,5
hair loss,hair,1087,5
hair loss,hair,1099,2
hair loss,hair,1046,5
hair loss,hair,1073,5
horror movie,movie,1037,5
horror movie,movie,1099,4
horror movie,movie,1006,5
horror movie,movie,1087,5
horror movie,movie,1079,5
horror movie,movie,1043,5
horror movie,movie,1048,5
horror movie,movie,1036,5
horror movie,movie,1011,5
horror movie,horror,1079,5
horror movie,horror,1087,3
horror movie,horror,1073,5
horror movie,horror,1056,5
horror movie,horror,1029,5
horror movie,horror,1006,4
horror movie,horror,1046,4
horror movie,horror,1001,5
horror movie,horror,1099,4
horror movie,horror,1011,5
horror movie,horror,1043,5
horror movie,horror,1048,5
horror movie,horror,1037,3
horror movie,horror,1036,4
horror movie,horror,1081,5
horror movie,movie,1081,2
horror movie,movie,1056,5
horror movie,movie,1001,5
horror movie,movie,1029,5
horror movie,movie,1073,5
horror movie,movie,1046,5
hype machine,machine,1011,3
hype machine,machine,1079,0
hype machine,machine,1037,0
hype machine,hype,1043,3
hype machine,machine,1056,2
hype machine,machine,1087,2
hype machine,machine,1048,5
hype machine,machine,1043,3
hype machine,machine,1073,0
hype machine,machine,1029,2
hype machine,machine,1081,0
hype machine,machine,1036,0
hype machine,hype,1073,0
hype machine,hype,1036,4
hype machine,hype,1079,5
hype machine,hype,1099,3
hype machine,hype,1011,5
hype machine,machine,1006,3
hype machine,machine,1001,0
hype machine,hype,1006,1
hype machine,hype,1081,1
hype machine,machine,1046,1
hype machine,hype,1029,5
hype machine,hype,1087,5
hype machine,hype,1037,3
hype machine,hype,1048,3
hype machine,hype,1046,5
hype machine,hype,1001,5
hype machine,hype,1056,4
hype machine,machine,1099,0
memory loss,memory,1036,5
memory loss,memory,1029,5
memory loss,memory,1006,5
memory loss,memory,1099,4
memory loss,memory,1081,3
memory loss,memory,1079,5
memory loss,memory,1037,5
memory loss,memory,1056,5
memory loss,memory,1087,5
memory loss,memory,1001,5
memory loss,memory,1046,5
memory loss,memory,1011,5
memory loss,memory,1073,5
memory loss,memory,1048,5
memory loss,memory,1043,5
memory loss,loss,1006,5
memory loss,loss,1011,4
memory loss,loss,1036,5
memory loss,loss,1081,4
memory loss,loss,1073,5
memory loss,loss,1099,1
memory loss,loss,1087,5
memory loss,loss,1048,5
memory loss,loss,1029,5
memory loss,loss,1079,4
memory loss,loss,1001,1
memory loss,loss,1037,5
memory loss,loss,1046,5
memory loss,loss,1056,5
memory loss,loss,1043,5
mood music,mood,1043,3
mood music,music,1006,5
mood music,music,1048,5
mood music,music,1011,5
mood music,music,1029,5
mood music,music,1056,5
mood music,music,1087,5
mood music,music,1036,5
mood music,mood,1079,4
mood music,music,1081,5
mood music,mood,1037,0
mood music,mood,1081,3
mood music,mood,1046,0
mood music,music,1037,5
mood music,mood,1048,5
mood music,mood,1001,3
mood music,mood,1029,3
mood music,mood,1099,5
mood music,music,1099,5
mood music,mood,1011,4
mood music,music,1001,5
mood music,music,1073,5
mood music,mood,1056,3
mood music,mood,1006,2
mood music,music,1046,5
mood music,mood,1073,4
mood music,music,1043,5
mood music,music,1079,5
mood music,mood,1036,2
mood music,mood,1087,1
paper loss,paper,1087,2
paper loss,paper,1046,4
paper loss,loss,1029,5
paper loss,loss,1099,1
paper loss,loss,1001,1
paper loss,loss,1081,3
paper loss,loss,1079,2
paper loss,loss,1036,5
paper loss,loss,1056,5
paper loss,loss,1046,5
paper loss,loss,1011,4
paper loss,paper,1001,2
paper loss,loss,1073,5
paper loss,loss,1037,5
paper loss,paper,1079,5
paper loss,paper,1043,4
paper loss,paper,1011,3
paper loss,loss,1087,5
paper loss,paper,1081,4
paper loss,loss,1048,5
paper loss,loss,1006,2
paper loss,paper,1037,0
paper loss,paper,1029,3
paper loss,paper,1036,0
paper loss,paper,1099,1
paper loss,loss,1043,5
paper loss,paper,1056,3
paper loss,paper,1048,5
paper loss,paper,1006,5
paper loss,paper,1073,5
propaganda machine,propaganda,1036,4
propaganda machine,propaganda,1029,5
propaganda machine,machine,1036,0
propaganda machine,propaganda,1073,5
propaganda machine,machine,1001,0
propaganda machine,machine,1029,3
propaganda machine,machine,1079,1
propaganda machine,machine,1006,0
propaganda machine,machine,1056,3
propaganda machine,machine,1073,0
propaganda machine,propaganda,1001,5
propaganda machine,machine,1081,1
propaganda machine,machine,1043,3
propaganda machine,machine,1011,4
propaganda machine,propaganda,1081,1
propaganda machine,propaganda,1011,5
propaganda machine,propaganda,1048,5
propaganda machine,propaganda,1099,0
propaganda machine,propaganda,1079,5
propaganda machine,propaganda,1006,3
propaganda machine,machine,1087,2
propaganda machine,machine,1048,2
propaganda machine,machine,1099,0
propaganda machine,propaganda,1087,5
propaganda machine,machine,1046,0
propaganda machine,propaganda,1037,5
propaganda machine,machine,1037,0
propaganda machine,propaganda,1046,5
propaganda machine,propaganda,1056,5
propaganda machine,propaganda,1043,5
road movie,road,1099,0
road movie,movie,1036,5
road movie,movie,1046,5
road movie,movie,1081,3
road movie,movie,1073,5
road movie,movie,1011,5
road movie,road,1036,1
road movie,movie,1043,5
road movie,movie,1099,0
road movie,movie,1048,5
road movie,road,1001,3
road movie,road,1048,2
road movie,road,1043,5
road movie,movie,1037,5
road movie,road,1081,5
road movie,road,1006,0
road movie,movie,1006,5
road movie,road,1029,2
road movie,movie,1029,5
road movie,road,1056,4
road movie,movie,1087,5
road movie,movie,1056,5
road movie,road,1011,3
road movie,road,1079,2
road movie,road,1087,2
road movie,road,1073,2
road movie,movie,1079,5
road movie,movie,1001,5
road movie,road,1046,1
road movie,road,1037,0
romance movie,romance,1099,4
romance movie,romance,1001,3
romance movie,movie,1043,5
romance movie,romance,1043,5
romance movie,movie,1099,4
romance movie,romance,1056,5
