compound,const,workerID,judgement
camping area,camping,1014,5
camping area,area,1077,2
camping area,area,1076,3
camping area,camping,1045,5
camping area,area,1005,3
camping area,area,1003,5
camping area,area,1020,5
camping area,area,1029,5
camping area,area,1055,0
camping area,area,1000,5
camping area,area,1024,2
camping area,area,1021,5
camping area,area,1045,5
camping area,area,1014,4
camping area,area,1033,3
camping area,area,1089,4
camping area,area,1069,5
camping area,camping,1024,1
camping area,camping,1033,3
camping area,camping,1089,4
camping area,camping,1020,5
camping area,camping,1005,4
camping area,camping,1029,5
camping area,camping,1055,4
camping area,camping,1021,5
camping area,camping,1003,5
camping area,camping,1076,4
camping area,camping,1069,4
camping area,camping,1077,3
camping area,camping,1000,5
concept album,album,1076,3
concept album,album,1055,2
concept album,album,1029,5
concept album,album,1024,4
concept album,album,1077,2
concept album,concept,1033,5
concept album,album,1045,5
concept album,album,1005,3
concept album,album,1069,5
concept album,album,1089,3
concept album,album,1020,5
concept album,album,1033,0
concept album,album,1000,5
concept album,album,1014,5
concept album,concept,1021,3
concept album,concept,1045,5
concept album,concept,1055,4
concept album,concept,1077,4
concept album,concept,1003,0
concept album,album,1003,5
concept album,concept,1014,4
concept album,concept,1069,0
concept album,concept,1000,4
concept album,concept,1029,4
concept album,concept,1005,4
concept album,concept,1024,3
concept album,concept,1089,4
concept album,album,1021,0
concept album,concept,1076,3
concept album,concept,1020,5
confidentiality agreement,agreement,1020,5
confidentiality agreement,agreement,1024,0
confidentiality agreement,agreement,1014,5
confidentiality agreement,agreement,1045,5
confidentiality agreement,agreement,1076,3
confidentiality agreement,agreement,1089,4
confidentiality agreement,agreement,1021,1
confidentiality agreement,agreement,1029,5
confidentiality agreement,agreement,1005,5
confidentiality agreement,agreement,1055,4
confidentiality agreement,confidentiality,1033,5
confidentiality agreement,confidentiality,1029,5
confidentiality agreement,confidentiality,1045,5
confidentiality agreement,confidentiality,1055,4
confidentiality agreement,agreement,1003,5
confidentiality agreement,agreement,1077,5
confidentiality agreement,confidentiality,1005,5
confidentiality agreement,agreement,1000,4
confidentiality agreement,agreement,1033,0
confidentiality agreement,confidentiality,1003,5
confidentiality agreement,confidentiality,1014,5
confidentiality agreement,confidentiality,1069,5
confidentiality agreement,confidentiality,1024,1
confidentiality agreement,confidentiality,1077,4
confidentiality agreement,confidentiality,1021,4
confidentiality agreement,agreement,1069,5
confidentiality agreement,confidentiality,1020,5
confidentiality agreement,confidentiality,1000,5
confidentiality agreement,confidentiality,1076,3
