compound,const,workerID,judgement
arcade game,arcade,1090,5
arcade game,game,1098,5
arcade game,game,1060,3
arcade game,game,1007,4
arcade game,game,1038,1
arcade game,game,1019,5
arcade game,game,1070,5
arcade game,game,1090,5
arcade game,game,1063,5
arcade game,game,1047,5
arcade game,game,1059,5
arcade game,game,1026,5
arcade game,game,1008,5
arcade game,game,1028,5
arcade game,game,1002,5
arcade game,game,1082,5
arcade game,arcade,1059,4
arcade game,arcade,1028,0
arcade game,arcade,1007,4
arcade game,arcade,1070,4
arcade game,arcade,1038,0
arcade game,arcade,1063,4
arcade game,arcade,1019,4
arcade game,arcade,1026,5
arcade game,arcade,1060,3
arcade game,arcade,1047,3
arcade game,arcade,1002,5
arcade game,arcade,1098,5
arcade game,arcade,1008,5
arcade game,arcade,1082,0
ball game,game,1059,5
ball game,game,1028,5
ball game,game,1063,5
ball game,game,1038,1
ball game,game,1082,0
ball game,game,1060,4
ball game,game,1090,5
ball game,game,1047,5
ball game,game,1026,5
ball game,ball,1019,5
ball game,game,1019,5
ball game,ball,1002,5
ball game,ball,1038,1
ball game,ball,1063,5
ball game,ball,1047,5
ball game,ball,1059,5
ball game,ball,1007,4
ball game,ball,1090,2
ball game,ball,1082,5
ball game,ball,1070,5
ball game,ball,1028,2
ball game,ball,1098,5
ball game,ball,1060,4
ball game,ball,1008,4
ball game,ball,1026,5
ball game,game,1098,5
ball game,game,1007,4
ball game,game,1002,5
ball game,game,1008,3
ball game,game,1070,5
bike helmet,helmet,1059,5
bike helmet,helmet,1047,5
bike helmet,bike,1060,4
bike helmet,bike,1047,5
bike helmet,bike,1090,5
bike helmet,bike,1063,5
bike helmet,bike,1002,4
bike helmet,bike,1019,4
bike helmet,bike,1059,2
bike helmet,helmet,1028,5
bike helmet,bike,1008,4
bike helmet,bike,1028,0
bike helmet,bike,1070,5
bike helmet,bike,1098,5
bike helmet,bike,1026,5
bike helmet,bike,1082,0
bike helmet,bike,1038,1
bike helmet,helmet,1060,3
bike helmet,bike,1007,1
bike helmet,helmet,1026,5
bike helmet,helmet,1038,1
bike helmet,helmet,1090,4
bike helmet,helmet,1002,5
bike helmet,helmet,1063,5
bike helmet,helmet,1070,5
bike helmet,helmet,1082,0
bike helmet,helmet,1098,5
bike helmet,helmet,1008,3
bike helmet,helmet,1007,4
bike helmet,helmet,1019,5
brain food,food,1007,1
brain food,food,1019,5
brain food,food,1060,2
brain food,food,1026,0
brain food,food,1063,5
brain food,food,1047,5
brain food,food,1082,0
