compound,const,workerID,judgement
baby shoe,baby,1099,4
baby shoe,shoe,1010,4
baby shoe,shoe,1018,5
baby shoe,shoe,1031,0
baby shoe,shoe,1099,4
baby shoe,shoe,1051,5
baby shoe,shoe,1053,5
baby shoe,shoe,1071,0
baby shoe,shoe,1090,5
baby shoe,shoe,1014,5
baby shoe,shoe,1085,5
baby shoe,shoe,1029,5
baby shoe,shoe,1066,5
baby shoe,shoe,1045,5
baby shoe,shoe,1070,5
baby shoe,baby,1051,5
baby shoe,baby,1018,5
baby shoe,baby,1084,5
baby shoe,baby,1090,5
baby shoe,baby,1031,5
baby shoe,baby,1071,0
baby shoe,baby,1070,5
baby shoe,baby,1045,5
baby shoe,baby,1010,1
baby shoe,baby,1085,0
baby shoe,shoe,1084,5
baby shoe,baby,1053,5
baby shoe,baby,1014,5
baby shoe,baby,1029,5
baby shoe,baby,1066,4
ballet shoe,shoe,1070,5
ballet shoe,shoe,1010,4
ballet shoe,shoe,1018,5
ballet shoe,shoe,1045,5
ballet shoe,shoe,1085,5
ballet shoe,shoe,1031,0
ballet shoe,shoe,1084,5
ballet shoe,shoe,1090,5
ballet shoe,shoe,1099,5
ballet shoe,shoe,1051,5
ballet shoe,shoe,1071,5
ballet shoe,shoe,1014,5
ballet shoe,shoe,1029,5
ballet shoe,shoe,1053,5
ballet shoe,shoe,1066,5
ballet shoe,ballet,1099,5
ballet shoe,ballet,1018,5
ballet shoe,ballet,1071,5
ballet shoe,ballet,1051,5
ballet shoe,ballet,1045,5
ballet shoe,ballet,1031,5
ballet shoe,ballet,1010,2
ballet shoe,ballet,1070,5
ballet shoe,ballet,1066,4
ballet shoe,ballet,1090,5
ballet shoe,ballet,1053,5
ballet shoe,ballet,1085,4
ballet shoe,ballet,1014,4
ballet shoe,ballet,1029,5
ballet shoe,ballet,1084,5
boat shoe,shoe,1010,4
boat shoe,shoe,1053,5
boat shoe,shoe,1070,5
boat shoe,boat,1053,0
boat shoe,boat,1031,0
boat shoe,boat,1045,0
boat shoe,shoe,1085,5
boat shoe,boat,1084,4
boat shoe,shoe,1051,5
boat shoe,boat,1085,4
boat shoe,shoe,1066,5
boat shoe,boat,1071,0
boat shoe,boat,1066,1
boat shoe,shoe,1099,0
boat shoe,shoe,1031,0
boat shoe,boat,1014,2
boat shoe,shoe,1018,3
boat shoe,boat,1029,2
boat shoe,shoe,1090,5
boat shoe,boat,1010,1
boat shoe,boat,1099,0
boat shoe,boat,1070,4
boat shoe,shoe,1045,5
boat shoe,boat,1051,3
boat shoe,shoe,1084,5
boat shoe,shoe,1029,5
boat shoe,boat,1018,5
