compound,const,workerID,judgement
art critic,art,1061,5
art critic,critic,1068,5
art critic,critic,1054,5
art critic,critic,1061,5
art critic,critic,1083,5
art critic,critic,1027,5
art critic,critic,1065,5
art critic,critic,1095,5
art critic,critic,1023,5
art critic,critic,1058,5
art critic,critic,1080,5
art critic,critic,1049,4
art critic,critic,1096,0
art critic,critic,1041,5
art critic,critic,1029,5
art critic,critic,1078,5
art critic,art,1065,5
art critic,art,1023,4
art critic,art,1029,5
art critic,art,1041,5
art critic,art,1049,3
art critic,art,1095,5
art critic,art,1096,4
art critic,art,1078,5
art critic,art,1083,5
art critic,art,1027,5
art critic,art,1058,4
art critic,art,1080,5
art critic,art,1068,5
art critic,art,1054,5
assessment day,day,1095,4
assessment day,day,1096,0
assessment day,day,1061,5
assessment day,day,1078,5
assessment day,day,1029,5
assessment day,assessment,1029,5
assessment day,day,1058,5
assessment day,day,1065,5
assessment day,day,1083,5
assessment day,day,1068,5
assessment day,assessment,1095,5
assessment day,assessment,1068,5
assessment day,assessment,1027,5
assessment day,assessment,1078,5
assessment day,assessment,1023,5
assessment day,assessment,1083,5
assessment day,day,1027,5
assessment day,assessment,1041,4
assessment day,assessment,1049,4
assessment day,assessment,1065,5
assessment day,day,1049,1
assessment day,assessment,1061,5
assessment day,day,1041,5
assessment day,day,1023,3
assessment day,assessment,1080,5
assessment day,day,1054,5
assessment day,day,1080,4
assessment day,assessment,1058,1
assessment day,assessment,1096,5
assessment day,assessment,1054,5
capital equipment,equipment,1054,5
capital equipment,equipment,1095,5
capital equipment,equipment,1065,5
capital equipment,equipment,1049,1
capital equipment,equipment,1058,5
capital equipment,equipment,1096,5
capital equipment,equipment,1029,5
capital equipment,equipment,1061,0
capital equipment,equipment,1083,5
capital equipment,equipment,1078,5
capital equipment,capital,1095,5
capital equipment,equipment,1068,5
capital equipment,capital,1041,1
capital equipment,capital,1068,2
capital equipment,capital,1023,2
capital equipment,capital,1027,4
capital equipment,capital,1029,3
capital equipment,capital,1061,0
capital equipment,capital,1058,0
capital equipment,capital,1054,5
capital equipment,capital,1065,4
capital equipment,capital,1083,5
capital equipment,capital,1096,4
capital equipment,capital,1078,5
capital equipment,equipment,1080,4
capital equipment,equipment,1041,3
capital equipment,equipment,1027,5
capital equipment,equipment,1023,4
capital equipment,capital,1049,1
capital equipment,capital,1080,2
corn dog,dog,1080,0
corn dog,dog,1058,0
corn dog,dog,1096,0
corn dog,dog,1061,0
corn dog,dog,1083,0
corn dog,dog,1068,3
corn dog,dog,1029,3
corn dog,dog,1023,2
corn dog,dog,1041,0
corn dog,dog,1095,2
corn dog,dog,1027,0
corn dog,dog,1078,0
corn dog,dog,1049,1
corn dog,dog,1054,5
corn dog,dog,1065,0
corn dog,corn,1083,5
corn dog,corn,1058,0
corn dog,corn,1027,1
corn dog,corn,1096,5
corn dog,corn,1023,4
corn dog,corn,1041,2
corn dog,corn,1078,2
corn dog,corn,1065,5
corn dog,corn,1029,5
corn dog,corn,1049,2
corn dog,corn,1095,5
corn dog,corn,1061,0
corn dog,corn,1068,3
corn dog,corn,1054,0
corn dog,corn,1080,4
culture critic,critic,1080,5
culture critic,culture,1058,5
culture critic,culture,1049,1
culture critic,culture,1027,5
culture critic,culture,1054,5
culture critic,culture,1096,5
culture critic,culture,1080,5
culture critic,culture,1061,5
culture critic,culture,1095,5
culture critic,culture,1068,5
culture critic,culture,1065,5
culture critic,culture,1029,4
culture critic,culture,1078,5
culture critic,culture,1023,4
culture critic,critic,1027,5
culture critic,critic,1096,0
culture critic,critic,1078,5
culture critic,critic,1058,4
culture critic,critic,1065,5
culture critic,critic,1029,4
culture critic,critic,1049,4
culture critic,critic,1041,4
culture critic,critic,1023,5
culture critic,critic,1068,5
culture critic,critic,1095,5
culture critic,critic,1083,5
culture critic,culture,1041,5
culture critic,critic,1054,5
culture critic,culture,1083,5
culture critic,critic,1061,5
dog dinner,dog,1058,1
dog dinner,dinner,1061,5
dog dinner,dinner,1049,1
dog dinner,dinner,1058,2
dog dinner,dinner,1065,5
dog dinner,dog,1095,5
dog dinner,dog,1078,4
dog dinner,dinner,1083,5
dog dinner,dinner,1023,3
dog dinner,dinner,1029,5
dog dinner,dinner,1041,4
dog dinner,dinner,1096,5
dog dinner,dog,1041,2
dog dinner,dog,1054,5
dog dinner,dinner,1095,5
dog dinner,dinner,1068,5
dog dinner,dog,1096,0
dog dinner,dog,1049,3
dog dinner,dog,1083,5
dog dinner,dog,1080,0
dog dinner,dog,1027,1
dog dinner,dog,1068,5
dog dinner,dog,1065,5
dog dinner,dinner,1080,0
dog dinner,dinner,1078,4
dog dinner,dinner,1027,5
dog dinner,dog,1061,3
dog dinner,dog,1029,5
dog dinner,dog,1023,2
dog dinner,dinner,1054,5
drama critic,critic,1080,5
drama critic,critic,1054,5
drama critic,critic,1058,5
drama critic,drama,1023,4
drama critic,drama,1058,1
drama critic,drama,1061,5
drama critic,drama,1096,5
drama critic,critic,1041,5
drama critic,critic,1029,5
drama critic,critic,1023,5
drama critic,drama,1083,5
drama critic,critic,1078,5
drama critic,critic,1096,0
drama critic,critic,1068,5
drama critic,critic,1083,5
drama critic,drama,1054,5
drama critic,drama,1027,5
drama critic,drama,1078,5
drama critic,drama,1068,5
drama critic,drama,1095,5
drama critic,critic,1061,5
drama critic,critic,1065,5
drama critic,drama,1049,1
drama critic,critic,1027,5
drama critic,drama,1041,3
drama critic,drama,1029,5
drama critic,critic,1095,5
drama critic,drama,1080,5
drama critic,critic,1049,4
drama critic,drama,1065,5
family day,family,1061,5
family day,family,1049,3
family day,family,1095,5
family day,family,1080,5
family day,day,1078,5
family day,day,1061,5
family day,day,1029,5
family day,family,1029,4
family day,family,1027,5
family day,family,1054,5
family day,family,1065,5
family day,family,1023,5
family day,family,1078,5
family day,family,1058,2
family day,family,1083,5
family day,family,1041,3
family day,family,1068,5
family day,family,1096,5
family day,day,1058,5
family day,day,1096,0
family day,day,1065,5
family day,day,1049,2
family day,day,1068,5
family day,day,1054,5
family day,day,1023,4
family day,day,1041,5
family day,day,1027,5
family day,day,1080,4
family day,day,1083,0
family day,day,1095,5
family dinner,dinner,1058,5
family dinner,family,1095,5
family dinner,family,1078,3
family dinner,dinner,1054,5
family dinner,dinner,1049,1
family dinner,dinner,1029,5
family dinner,family,1083,5
family dinner,family,1065,5
family dinner,family,1058,5
family dinner,dinner,1027,5
family dinner,dinner,1080,5
family dinner,dinner,1096,0
family dinner,family,1096,5
family dinner,dinner,1061,5
family dinner,family,1080,5
family dinner,family,1068,5
family dinner,family,1027,4
family dinner,family,1041,2
family dinner,dinner,1083,5
family dinner,family,1029,4
family dinner,family,1054,5
family dinner,dinner,1078,5
family dinner,family,1049,1
family dinner,dinner,1041,5
family dinner,family,1061,5
family dinner,dinner,1068,5
family dinner,family,1023,5
family dinner,dinner,1023,5
family dinner,dinner,1095,5
family dinner,dinner,1065,5
family dog,family,1083,5
family dog,dog,1083,5
family dog,dog,1061,4
family dog,dog,1068,5
family dog,family,1096,2
family dog,dog,1080,5
family dog,family,1080,5
family dog,dog,1058,5
family dog,dog,1096,4
family dog,family,1029,5
family dog,dog,1049,4
family dog,family,1095,5
family dog,dog,1054,5
family dog,family,1049,1
family dog,dog,1023,5
family dog,family,1078,5
family dog,family,1068,5
family dog,family,1023,5
family dog,family,1027,3
family dog,family,1054,5
family dog,family,1065,5
family dog,family,1058,5
family dog,family,1041,2
family dog,dog,1078,5
family dog,family,1061,4
family dog,dog,1029,5
family dog,dog,1095,5
family dog,dog,1041,5
family dog,dog,1065,5
family dog,dog,1027,5
farewell dinner,dinner,1041,4
farewell dinner,dinner,1095,5
farewell dinner,dinner,1068,5
farewell dinner,dinner,1027,5
farewell dinner,dinner,1023,4
farewell dinner,farewell,1041,3
farewell dinner,dinner,1049,1
farewell dinner,farewell,1023,5
farewell dinner,farewell,1083,5
farewell dinner,farewell,1095,5
farewell dinner,farewell,1029,5
farewell dinner,farewell,1096,5
farewell dinner,dinner,1065,5
farewell dinner,farewell,1078,5
farewell dinner,farewell,1068,5
farewell dinner,farewell,1058,5
farewell dinner,farewell,1080,5
farewell dinner,farewell,1061,5
farewell dinner,farewell,1027,5
farewell dinner,farewell,1054,5
farewell dinner,farewell,1049,1
farewell dinner,farewell,1065,5
farewell dinner,dinner,1096,0
farewell dinner,dinner,1061,2
farewell dinner,dinner,1058,5
farewell dinner,dinner,1054,5
farewell dinner,dinner,1083,1
farewell dinner,dinner,1080,5
farewell dinner,dinner,1078,5
farewell dinner,dinner,1029,5
field day,field,1080,0
field day,field,1049,1
field day,field,1029,2
field day,field,1068,4
field day,field,1027,1
field day,field,1096,5
field day,day,1080,4
field day,field,1078,1
field day,day,1027,5
field day,day,1049,1
field day,field,1083,0
field day,field,1023,1
field day,field,1054,5
field day,day,1023,4
field day,field,1065,0
field day,day,1041,1
field day,field,1041,0
field day,field,1095,4
field day,field,1061,5
field day,field,1058,0
field day,day,1054,5
field day,day,1068,5
field day,day,1095,5
field day,day,1083,0
field day,day,1096,0
field day,day,1058,0
field day,day,1065,5
field day,day,1061,5
field day,day,1078,5
field day,day,1029,5
food critic,critic,1080,5
food critic,food,1080,5
food critic,critic,1023,5
food critic,critic,1061,5
food critic,food,1065,5
food critic,food,1078,5
food critic,food,1095,5
food critic,critic,1096,0
food critic,food,1058,5
food critic,food,1029,5
food critic,food,1041,5
food critic,critic,1068,5
food critic,food,1096,5
food critic,food,1061,5
food critic,food,1054,5
food critic,critic,1078,5
food critic,critic,1029,5
food critic,critic,1054,5
food critic,food,1027,5
food critic,food,1083,5
food critic,critic,1027,5
food critic,critic,1065,5
food critic,critic,1041,5
food critic,critic,1095,5
food critic,critic,1083,5
food critic,critic,1058,4
food critic,food,1049,1
food critic,food,1023,5
food critic,critic,1049,4
food critic,food,1068,5
gala dinner,gala,1041,3
gala dinner,gala,1068,5
gala dinner,gala,1023,3
gala dinner,gala,1029,5
gala dinner,gala,1058,1
gala dinner,gala,1095,5
gala dinner,gala,1065,5
gala dinner,gala,1027,5
gala dinner,gala,1096,0
gala dinner,gala,1083,5
gala dinner,gala,1078,5
gala dinner,gala,1049,1
gala dinner,gala,1054,5
gala dinner,gala,1061,5
gala dinner,dinner,1058,5
gala dinner,dinner,1068,5
gala dinner,dinner,1041,5
gala dinner,dinner,1095,5
gala dinner,dinner,1065,5
gala dinner,dinner,1049,1
gala dinner,gala,1080,2
gala dinner,dinner,1061,5
gala dinner,dinner,1083,5
