compound,const,workerID,judgement
ballot paper,ballot,1010,2
ballot paper,paper,1011,5
ballot paper,paper,1044,5
ballot paper,paper,1075,4
ballot paper,paper,1080,5
ballot paper,paper,1034,5
ballot paper,paper,1015,0
ballot paper,paper,1010,2
ballot paper,paper,1039,5
ballot paper,paper,1052,1
ballot paper,paper,1072,5
ballot paper,paper,1032,5
ballot paper,paper,1067,5
ballot paper,paper,1097,5
ballot paper,paper,1029,5
ballot paper,paper,1086,2
ballot paper,ballot,1044,5
ballot paper,ballot,1097,5
ballot paper,ballot,1015,0
ballot paper,ballot,1080,5
ballot paper,ballot,1034,5
ballot paper,ballot,1052,4
ballot paper,ballot,1072,5
ballot paper,ballot,1032,5
ballot paper,ballot,1086,4
ballot paper,ballot,1067,4
ballot paper,ballot,1075,4
ballot paper,ballot,1011,5
ballot paper,ballot,1039,5
ballot paper,ballot,1029,5
construction paper,paper,1075,5
construction paper,paper,1034,5
construction paper,paper,1015,0
construction paper,paper,1032,5
construction paper,paper,1072,5
construction paper,paper,1039,5
construction paper,paper,1086,4
construction paper,paper,1052,2
construction paper,paper,1011,5
construction paper,paper,1080,5
construction paper,paper,1097,5
construction paper,paper,1029,5
construction paper,paper,1010,4
construction paper,paper,1044,5
construction paper,paper,1067,5
construction paper,construction,1044,3
construction paper,construction,1029,3
construction paper,construction,1011,4
construction paper,construction,1080,3
construction paper,construction,1072,4
construction paper,construction,1086,3
construction paper,construction,1010,1
construction paper,construction,1067,1
construction paper,construction,1034,5
construction paper,construction,1015,0
construction paper,construction,1097,4
construction paper,construction,1032,0
construction paper,construction,1052,0
construction paper,construction,1039,0
construction paper,construction,1075,0
consultation paper,consultation,1097,4
consultation paper,paper,1010,2
consultation paper,paper,1034,4
consultation paper,consultation,1086,3
consultation paper,paper,1039,5
consultation paper,consultation,1075,1
consultation paper,consultation,1011,5
consultation paper,paper,1015,0
consultation paper,paper,1080,5
consultation paper,consultation,1015,0
consultation paper,paper,1075,5
consultation paper,consultation,1010,2
consultation paper,consultation,1034,5
consultation paper,consultation,1072,4
consultation paper,paper,1011,4
consultation paper,consultation,1032,3
consultation paper,consultation,1029,3
consultation paper,paper,1067,5
consultation paper,consultation,1039,3
consultation paper,consultation,1052,0
consultation paper,consultation,1080,5
consultation paper,paper,1086,4
consultation paper,paper,1052,0
consultation paper,consultation,1067,4
consultation paper,paper,1072,5
consultation paper,paper,1032,4
consultation paper,consultation,1044,4
consultation paper,paper,1044,5
consultation paper,paper,1029,5
consultation paper,paper,1097,5
consumer protection,protection,1097,5
consumer protection,protection,1080,4
consumer protection,protection,1032,2
consumer protection,protection,1086,2
consumer protection,protection,1010,2
consumer protection,protection,1029,5
consumer protection,consumer,1075,2
consumer protection,protection,1075,3
consumer protection,protection,1072,5
consumer protection,protection,1034,4
consumer protection,protection,1011,5
consumer protection,protection,1067,5
consumer protection,protection,1015,5
consumer protection,protection,1039,4
consumer protection,protection,1052,4
consumer protection,protection,1044,5
consumer protection,consumer,1039,5
consumer protection,consumer,1052,5
consumer protection,consumer,1072,5
consumer protection,consumer,1034,4
consumer protection,consumer,1080,4
consumer protection,consumer,1086,4
consumer protection,consumer,1044,5
consumer protection,consumer,1097,5
consumer protection,consumer,1015,5
consumer protection,consumer,1067,5
consumer protection,consumer,1011,5
consumer protection,consumer,1032,5
consumer protection,consumer,1029,5
consumer protection,consumer,1010,1
dinner party,party,1072,5
dinner party,party,1011,5
dinner party,dinner,1034,5
dinner party,party,1029,5
dinner party,party,1086,5
dinner party,dinner,1080,5
dinner party,party,1044,5
dinner party,party,1015,5
dinner party,dinner,1067,5
dinner party,dinner,1052,4
dinner party,party,1034,5
dinner party,dinner,1075,5
dinner party,party,1052,4
dinner party,dinner,1086,3
dinner party,dinner,1010,2
dinner party,dinner,1097,5
dinner party,party,1080,5
dinner party,party,1075,5
dinner party,party,1010,4
dinner party,party,1032,4
dinner party,dinner,1011,5
dinner party,party,1039,3
dinner party,dinner,1039,4
dinner party,party,1097,4
dinner party,dinner,1032,5
dinner party,party,1067,5
dinner party,dinner,1015,5
dinner party,dinner,1029,5
dinner party,dinner,1044,5
dinner party,dinner,1072,5
emotion processing,processing,1072,4
emotion processing,processing,1067,5
emotion processing,processing,1032,3
emotion processing,processing,1010,1
emotion processing,processing,1029,4
emotion processing,emotion,1052,3
emotion processing,emotion,1011,5
emotion processing,emotion,1086,4
emotion processing,emotion,1010,1
emotion processing,emotion,1072,5
emotion processing,emotion,1067,5
emotion processing,emotion,1044,5
emotion processing,emotion,1080,5
emotion processing,emotion,1032,4
emotion processing,emotion,1039,4
emotion processing,emotion,1075,4
emotion processing,emotion,1015,0
emotion processing,emotion,1097,5
emotion processing,emotion,1029,5
emotion processing,processing,1015,0
emotion processing,processing,1034,4
emotion processing,processing,1097,5
emotion processing,processing,1086,2
emotion processing,processing,1075,4
emotion processing,processing,1080,3
emotion processing,processing,1052,2
emotion processing,processing,1044,5
emotion processing,processing,1039,3
emotion processing,emotion,1034,5
emotion processing,processing,1011,4
farewell party,farewell,1039,3
farewell party,party,1086,3
farewell party,party,1044,5
farewell party,party,1015,5
farewell party,party,1034,5
farewell party,party,1052,3
farewell party,farewell,1080,5
farewell party,farewell,1034,5
farewell party,farewell,1086,4
farewell party,farewell,1015,5
farewell party,farewell,1072,5
farewell party,farewell,1075,1
farewell party,farewell,1097,5
farewell party,party,1072,4
farewell party,farewell,1067,5
farewell party,party,1075,5
farewell party,farewell,1029,5
farewell party,farewell,1010,2
farewell party,party,1097,5
farewell party,party,1029,5
farewell party,farewell,1032,3
farewell party,farewell,1052,5
farewell party,farewell,1044,5
farewell party,party,1039,3
farewell party,party,1032,5
farewell party,party,1080,5
farewell party,party,1011,5
farewell party,party,1010,4
farewell party,farewell,1011,5
farewell party,party,1067,5
food photography,photography,1044,5
food photography,food,1075,5
food photography,food,1029,5
food photography,food,1086,5
food photography,food,1044,5
food photography,food,1015,0
food photography,food,1052,4
food photography,food,1080,5
food photography,food,1032,4
food photography,food,1039,5
food photography,food,1034,5
food photography,food,1067,5
food photography,food,1097,5
food photography,food,1011,5
food photography,food,1072,5
food photography,food,1010,4
food photography,photography,1010,4
food photography,photography,1080,5
food photography,photography,1015,5
